Imran  EV2 WhatIf Research-20251007_171339-Meeting Recording
October 7, 2025, 9:13PM
40m 11s
 Saebom Lee started transcription
 Saebom Lee   0:03 Recording is on. And. Yeah, it's good.
 I.S.   0:10 OK. Are we good?
 Saebom Lee   0:11 Yeah.
 I.S.   0:12 OK, so we use, so we were not even on EV2 personally. So this year we made a huge transition to make sure all of our pipelines and we have like 100 plus pipelines actually to move from classic to EV2 regional agnostic. So we go use. The latest version of EV2 and things are fine. I think we are happy with all the moves. So last one year we did a bunch of changes. We moved to we use EV2, now we use secured safe deployment practices. And we have all the other ABH and safely integrations too.
 Saebom Lee   0:52 OK, OK, I forgot your team. Like what service is your team working?
 I.S.   0:58 So I represent two teams, one is learn organization and the other is localization. So they are called ecosystems.
 Saebom Lee   1:06 OK. OK, sounds good.
 I.S.   1:10 ecosystems part of Azure experiences, ecosystems organization under any.
 Saebom Lee   1:16 OK. So is it 100% original mistake right now?
 I.S.   1:20 Yeah.
 Saebom Lee   1:21 OK, OK. Did you have any challenges? Like what? OK.
 I.S.   1:24 We do have classic ones too. Actually we do have classic ones too, but I think it's all because like we have a lot of pipelines we do have we. The thing which we did in our side is we create a lot of shared templates. So we have a lot of shared templates, so our EV to.
 Saebom Lee   1:41 Mhm.
 I.S.   1:47 Our EV2 usage has been pretty good personally because we have a lot of shared modules and stuff written which we use.
 Saebom Lee   1:56 OK, so for those few EV2 classic ones, um, you guys are keeping it classic because it's uh, what are the reasons?
 I.S.   2:06 No, I think it's just like there is no reason to just be on classic for our things. I think the major reason is like the prioritization. So I think we have moved most only the ones where we thought maybe either we're going to just delete them eventually or we don't use them. I think they we didn't do that exercise of moving.
 Saebom Lee   2:11 Mhm.
 I.S.   2:25 From classic to the original agnostic.
 Saebom Lee   2:28 OK, that makes sense. Um, then are you currently using ARM template or have you heard of bicep?
 I.S.   2:35 Yeah, we do. We use myself.
 Saebom Lee   2:37 Oh, like bicep only or?
 I.S.   2:38 We use my. I need to check which pipelines use arm templates, which one use bicep, but we use mix of both. So let me check. Just give me one second.
 Saebom Lee   2:50 Yeah. I think Angel might have like follow up question regarding template and bicep like in detail.
 I.S.   2:58 Hmm.
 Saebom Lee   3:04 Do you have any differences in the use cases?
    3:05 No.
 Angel Perez   3:09 I think right now the biggest thing distinction is just whether the the files defined in your service resource definitions are ARM templates or or bicep and I believe. It should be ARM templates because Bicep isn't supported natively today. That's actually work that we are doing, but it will soon be available that. So that's more of an aside. The distinction in region agnostic and classic, it's mostly because everything we're gonna talk about today is.
 Saebom Lee   3:34 Good.
 I.S.   3:38 OK. Mhm.
 Angel Perez   3:45 Investments that are being done in integrating into a region agnostic model. But yeah, that's pretty much it. And this last bullet here is on whether you're familiar with Azure deployments. What if?
 I.S.   3:49 That makes sense.
 Angel Perez   4:01 And use it in any any capacity for your pipelines.
 I.S.   4:04 Yeah, so we use Azure DevOps for sure for the CSC tooling and I haven't heard about what if, but I think maybe that would be a good one to actually go deeper today.
 Angel Perez   4:14 OK, cool. All right, then I can cover all these as we go through this. This call is more specifically to touch on EV2 stacks, what if and what that's gonna look like in the Azure portal.
 I.S.   4:18 Hm. OK. OK, mm-hmm.
 Angel Perez   4:29 But I'm first gonna cover stacks, because I'm assuming you haven't heard about stacks before yet.
 I.S.   4:37 Yeah.
 Angel Perez   4:41 OK, then let's quickly do that. I can give you a quick demo.
 Saebom Lee   4:44 OK.
 Angel Perez   4:48 Uh, can you see my screen?
 I.S.   4:54 I can see the screen, so we're just trying to pull up the information about ARM versus Bicep infrastructure. So we do use both and I'll just share like I think we have planned to move to 1.
 Angel Perez   5:01 Mhm. Cool.
 I.S.   5:09 I we recently did this exercise, so we might be more doing this soon. I'll just share what where we are, where we stand.
 Angel Perez   5:17 That's awesome. Um. I think it it we see a.
 I.S.   5:21 I think it.
 Angel Perez   5:25 The statistic is 11.3% failure rate for ARM templates and about 2.6% for bicep. So there's just a lot more that you end up catching here in the VS code experience from as much as we're able to push into.
 I.S.   5:32 Yeah, that's one of the reasons. Hmm.
 Angel Perez   5:42 To the validation to section the language has, but yeah, having that in EV2 natively will be a plus as well. So First off deployment stacks. So you're familiar with Bicep and ARM templates, so I'm assuming you're familiar with the deployment.
 I.S.   5:47 Got it. Makes sense. Mm-hmm. Yeah. Yeah.
 Angel Perez   6:02 Object that exists today. So the deployment stacks is meant to be seen kind of like the evolution of that deployment object. So today in Azure and let me just open a portal window quickly.
 I.S.   6:11 OK.
 Angel Perez   6:20 We just share the full screen first. Today in the portal, like we said, those deployments are records. Basically just track what template got submitted and the name of that template and that's it. The deployment stack is. Meant to be a resource itself, so it's a resource type that does a template deployment on your behalf. So you end up getting a couple more things included as part of this. Sorry, let me know when you can see my screen.
 I.S.   6:49 OK. Mhm.
 Saebom Lee   7:01 That's good.
 I.S.   7:02 I can see it now.
 Angel Perez   7:03 All right, sweet. Let's just go to a quick subscription scope so we can see this example. So at subscription scope or resource group scope or whichever we have those deployments. As we talked about, now we're also going to see deployment stacks, but different than deployments, a deployment stacks is a full resource. So what I mean by that is that it has its own resource ID.
 I.S.   7:33 OK, that makes sense.
